task_type,m1_1,m2_1,m3_1
T3,8.547,8.604,8.28
T2,4.856,8.137,9.193
T4,6.023,7.039,7.834
T2,4.959,7.414,10.185
T3,8.187,9.773,9.753
T1,7.071,4.62,11.058
T2,5.055,8.472,9.32
T3,8.676,8.924,9.113
T1,6.465,5.131,11.429
T1,7.465,5.249,11.813
T2,5.291,7.537,10.166
T1,6.671,4.977,11.657
T1,6.681,5.045,12.854
T4,5.834,6.738,7.994
T3,7.409,9.312,8.757
T3,8.429,9.582,8.909
T3,7.964,8.281,9.692
T3,8.316,9.583,9.188
T2,4.765,7.65,10.765
T4,6.081,7.151,8.499
T1,6.59,4.806,11.143
T3,7.576,9.334,9.696
T4,5.652,6.447,8.547
T2,5.204,7.504,9.578
T2,5.418,8.616,10.837
T2,5.003,8.648,10.272
T4,5.551,6.97,8.524
T3,7.398,8.836,9.413
T2,4.611,8.022,10.273
T4,5.516,7.032,8.42
T2,4.967,7.938,10.513
T4,6.48,6.728,8.523
T3,7.393,8.754,8.364
T1,6.872,5.088,12.601
T1,7.232,5.228,11.675
T3,7.374,8.582,8.915
T4,6.407,7.258,7.821
T2,4.741,8.115,10.545
T4,6.253,7.431,8.448
T4,6.487,6.752,8.555
T1,6.895,4.722,12.625
T4,5.843,6.664,8.637
T3,8.075,9.594,8.607
T1,7.273,4.88,12.131
T2,4.633,8.071,10.197
T2,5.387,7.79,10.407
T4,6.243,7.185,7.773
T1,7.216,4.584,12.503
T4,5.625,6.481,7.825
T1,7.469,5.064,13.02
T3,7.36,9.014,8.651
T2,5.327,8.053,10.723
T3,7.364,9.21,9.268
T1,7.444,5.333,11.149
T1,6.411,4.657,11.051
T1,7.361,5.328,11.943
T4,5.913,7.447,7.911
T4,5.766,6.796,7.438
T1,6.729,5.028,11.509
T3,7.91,9.133,8.517
T3,8.448,9.088,9.174
T2,4.578,8.137,10.388
T1,6.722,4.6,12.603
T3,7.632,8.568,8.461
T3,7.902,9.368,8.246
T1,6.699,4.613,11.181
T3,7.69,9.591,9.019
T1,6.851,4.75,11.283
T3,8.423,8.846,9.173
T3,8.439,9.259,9.113
T1,7.352,5.226,12.055
T4,6.374,7.545,7.984
T4,5.748,6.851,8.302
T2,5.306,8.12,9.804
T4,5.809,7.556,8.098
T4,6.448,6.714,7.634
T3,7.579,8.46,8.502
T4,5.757,6.453,7.834
T3,8.437,8.72,8.667
T4,6.109,6.484,7.315
T3,8.417,8.294,8.73
T2,5.093,7.633,9.284
T2,5.423,8.286,10.602
T1,7.343,4.615,11.085
T4,5.674,6.954,8.545
T3,8.341,9.147,9.582
T3,8.156,8.61,8.417
T4,5.868,6.58,7.804
T1,7.269,5.246,11.026
T2,5.066,8.271,10.691
T4,5.812,6.79,8.434
T4,6.36,6.711,7.501
T1,6.678,5.159,11.919
T4,5.913,6.629,7.435
T4,5.771,6.597,7.345
T2,5.318,8.404,10.273
T3,7.794,8.71,8.763
T3,7.436,9.501,8.673
T3,7.764,8.307,9.272
T3,8.174,9.496,8.619
T1,7.576,5.319,11.412
T2,5.318,8.329,9.458
T1,7.09,5.261,12.716
T4,6.311,7.48,8.252
T1,6.537,5.277,11.136
T4,5.752,6.817,7.873
T1,6.53,4.846,11.537
T1,6.89,5.196,11.322
T3,7.354,8.856,8.954
T4,6.374,7.197,7.761
T1,6.917,5.067,11.733
T4,5.717,6.782,7.375
T1,6.892,4.724,12.78
T2,4.784,8.516,9.529
T1,6.715,5.072,12.039
T1,7.371,5.283,12.977
T3,7.959,9.269,8.617
T2,5.284,8.031,9.234
T1,6.522,5.313,11.433
T1,6.856,5.105,12.791
T2,4.708,7.363,9.2
T3,7.731,9.435,9.116
T2,5.301,7.963,9.696
T3,8.581,9.171,9.102
T4,5.83,7.115,7.575
T3,7.601,8.237,9.605
T4,5.498,6.758,8.683
T3,7.636,8.938,9.66
T4,6.349,6.76,8.322
T2,4.951,8.297,9.936
T1,6.532,5.302,11.391
T2,4.926,8.031,9.994
T3,8.544,9.744,8.435
T2,4.765,7.927,10.862
T3,7.87,9.012,8.503
T4,6.483,7.389,8.497
T2,4.671,8.063,10.856
T2,5.312,8.071,9.427
T3,8.63,9.005,8.375
T4,6.483,6.798,7.509
T1,7.452,5.252,11.513
T3,8.454,8.561,9.048
T1,6.905,4.886,11.737
T2,5.208,7.515,10.173
T3,7.647,8.634,9.469
T2,5.269,7.846,10.712
T3,8.447,8.705,9.276
T2,4.801,8.036,10.429
T1,6.439,4.581,11.277
T3,8.203,9.039,8.894
T4,6.096,6.738,8.65
T3,8.589,9.276,8.979
T1,7.577,5.223,11.404
T1,6.979,4.596,11.283
T2,4.711,8.193,10.113
T1,6.629,5.29,11.968
T1,7.016,4.943,11.486
T3,7.688,9.262,9.381
T1,6.678,5.016,11.14
T3,7.68,8.543,9.081
T3,7.985,9.757,9.704
T2,5.104,8.584,10.658
T2,5.372,8.15,10.803
T3,7.943,8.352,8.3
T4,5.854,6.854,8.506
T2,5.193,8.084,10.849
T4,5.862,7.56,8.186
T3,7.516,9.377,9.419
T2,4.724,7.606,9.748
T2,5.367,8.424,9.942
T3,7.583,9.677,8.974
T1,7.255,5.107,11.885
T4,5.804,6.886,7.666
T4,6.078,6.828,7.528
T4,5.806,7.424,8.473
T2,4.927,7.754,10.018
T4,5.571,6.999,7.808
T4,6.355,6.537,8.269
T4,5.587,7.23,8.518
T1,7.113,4.924,11.95
T2,4.711,8.268,10.376
T2,5.269,8.304,10.574
T2,5.047,7.47,9.982
T4,6.194,7.309,7.482
T3,8.04,9.623,9.317
T1,6.789,4.856,12.364
T3,7.923,9.429,9.522
T1,7.218,5.007,11.12
T1,7.526,5.129,11.284
T1,7.496,5.254,11.263
T1,6.48,5.094,11.572
T4,6.474,6.519,7.316
T3,7.56,9.125,8.81
T1,7.581,4.851,12.701
T1,7.004,4.607,11.725
T3,8.132,8.658,8.651
T1,6.956,5.205,11.959
T3,8.518,9.423,8.552
T2,5.283,8.074,9.677
T4,6.136,7.336,8.225
T4,5.592,6.396,8.202
T3,7.556,8.983,8.644
T4,6.279,7.067,7.996
T4,5.891,6.594,7.753
T2,5.043,7.651,9.575
T4,5.593,7.19,8.024
T3,7.674,8.737,8.963
T4,5.882,6.754,8.689
T2,4.96,7.54,9.678
T4,6.195,7.503,7.476
T2,5.238,8.323,10.166
T3,8.327,9.619,9.409
T2,4.841,8.313,10.174
T1,6.81,4.677,11.771
T4,6.101,7.082,7.667
T2,5.36,7.702,10.635
T1,6.53,4.832,11.856
T2,5.126,8.308,10.719
T1,7.424,5.082,12.882
T2,5.164,7.607,10.645
T3,7.737,8.856,8.648
T1,7.306,4.64,11.915
T3,7.852,8.534,9.171
T2,4.687,8.244,10.511
T4,6.16,7.267,7.558
T2,4.944,7.567,9.822
T1,7.145,5.104,12.143
T2,4.941,7.466,9.97
T4,5.631,7.12,8.104
T2,5.022,8.035,9.61
T1,7.091,4.758,11.421
T2,4.88,8.236,10.861
T2,5.212,7.988,9.152
T3,8.663,8.918,9.544
T3,7.625,8.519,9.48
T1,7.203,5.093,11.355
T4,6.467,7.429,7.633
T3,7.768,9.734,8.398
T3,7.775,8.286,9.082
T1,6.573,4.84,11.513
T2,5.124,7.521,9.849
T4,5.71,7.203,8.119
T3,7.843,9.395,9.721
T1,6.716,5.177,11.116
T1,6.734,5.184,12.674
T3,8.245,9.634,8.293
T1,6.972,5.169,12.253
T3,8.692,9.405,9.624
T4,5.492,7.344,8.056
T1,6.784,5.337,11.926
T2,4.707,7.999,10.264
T2,5.17,8.331,10.5
T3,7.566,8.637,8.662
T2,5.128,8.449,10.186
T2,5.328,8.426,9.312
T1,7.368,4.589,12.468
T1,7.121,4.746,11.375
T3,7.558,9.38,9.751
T4,5.945,6.804,8.013
T3,7.932,9.468,8.27
T3,7.785,8.458,8.376
T4,5.667,7.276,8.318
T3,7.639,9.369,8.363
T1,7.375,5.371,12.597
T2,4.759,8.656,9.556
T4,6.256,6.597,7.986
T1,7.269,5.103,12.936
T4,6.334,7.349,7.425
T1,7.528,4.895,12.6
T4,5.695,6.913,8.195
T3,7.638,8.23,8.333
T1,6.589,5.421,11.467
T2,4.74,8.33,9.236
T2,5.36,7.458,9.471
T4,6.084,6.828,7.466
T1,6.653,5.194,11.94
T2,5.127,7.846,10.738
T1,7.021,5.04,12.951
T2,5.332,7.553,9.833
T3,8.573,8.427,8.545
T1,6.753,5.18,11.507
T2,5.408,7.673,10.302
T3,8.153,8.768,9.34
T1,6.412,5.078,13.027
T4,5.531,7.474,8.654
T2,5.28,8.51,10.69
T2,4.826,7.797,9.968
T4,6.027,7.341,7.608
T1,6.92,5.227,12.238
T4,5.986,6.57,8.376
T3,8.393,9.165,8.541
T2,5.059,7.662,9.788
T3,7.855,9.122,9.404
T1,6.886,5.201,12.594
T2,5.361,8.441,9.816
T4,6.031,7.539,8.114
T4,5.599,7.242,7.57
T4,5.872,7.372,8.091
T2,5.005,7.785,9.577
T4,5.967,6.953,7.814
T3,7.975,9.654,8.792
T3,7.327,9.362,9.39
T2,4.96,7.403,10.219
T2,4.643,7.662,9.169
T3,8.394,9.5,9.75
T1,6.477,4.642,12.802
T2,4.887,7.564,9.758
T4,5.722,6.854,7.392
T2,5.221,8.328,9.149
T3,8.43,9.693,8.795
T2,4.856,7.355,9.372
T3,8.604,9.501,9.073
T2,4.776,7.436,10.375
T1,6.785,4.86,11.551
T1,6.947,4.847,12.428
T1,6.495,4.619,10.964
T1,6.673,5.215,12.851
T4,6.07,7.167,7.474
T2,5.109,8.218,10.665
T2,4.862,8.253,9.989
T4,5.971,7.448,7.403
T4,5.752,7.51,8.105
T2,4.735,8.369,10.041
T3,8.345,9.223,8.851
T3,7.811,8.744,9.369
T4,6.45,6.44,8.015
T3,7.819,9.694,8.752
T1,7.561,5.319,12.469
T2,4.616,7.616,9.95
T2,4.995,8.663,9.305
T3,7.491,8.336,9.768
T3,8.333,8.585,9.69
T2,4.946,8.359,10.685
T3,7.729,9.159,8.888
T2,4.871,7.328,9.53
T2,5.113,8.637,9.515
T3,8.49,9.103,8.687
T4,5.79,6.443,8.154
T1,7.584,5.348,12.76
T3,7.342,9.458,8.698
T1,7.365,5.124,11.211
T1,6.695,5.083,12.753
T1,7.097,4.818,12.866
T4,5.615,7.393,7.857
T1,7.198,5.218,11.573
T3,7.391,9.274,9.31
T1,7.187,5.088,12.261
T3,7.809,9.374,9.174
T4,6.4,7.239,7.83
T1,6.941,4.749,13.013
T4,5.611,6.528,7.745
T3,7.63,8.319,9.694
T1,7.415,5.209,12.162
T3,8.253,9.142,9.711
T4,5.999,6.684,7.768
T1,6.394,5.215,12.495
T3,7.569,8.796,8.842
T1,6.462,5.109,11.524
T1,6.56,4.585,11.739
T4,5.575,7.308,7.456
T4,6.304,7.011,8.233
T3,8.495,9.184,9.75
T4,5.88,7.08,8.057
T1,7.542,4.996,12.976
T4,6.507,6.783,8.27
T4,5.88,7.151,8.615
T4,6.254,6.733,7.664
T3,7.674,9.166,8.972
T4,5.711,6.54,8.003
T3,7.439,9.418,8.393
T4,5.725,7.228,8.678
T3,7.954,9.714,8.972
T4,5.519,7.294,7.929
T4,6.115,7.013,8.218
T3,8.536,8.899,8.4
T3,7.406,8.854,8.493
T4,5.512,6.546,7.507
T4,5.639,7.543,7.704
T4,6.427,7.202,8.382
T4,5.876,7.596,8.481
T4,6.421,7.443,8.595
T3,7.793,9.609,9.453
T4,5.939,6.457,8.355
T3,8.539,9.008,8.797
T3,8.547,8.531,9.221
T3,7.364,9.544,9.565
T4,6.016,7.471,7.393
T4,6.34,6.943,8.241
T4,5.515,7.021,7.993
