task_type,m1_1,m2_1,m3_1
T3,8.547,8.604,8.28
T2,4.856,8.137,9.193
T4,6.023,7.039,7.834
T2,4.959,7.414,10.185
T3,8.187,9.773,9.753
T1,7.071,4.62,11.058
T2,5.055,8.472,9.32
T3,8.676,8.924,9.113
T1,6.465,5.131,11.429
T1,7.465,5.249,11.813
T2,5.291,7.537,10.166
T1,6.671,4.977,11.657
T1,6.681,5.045,12.854
T4,5.834,6.738,7.994
T3,7.409,9.312,8.757
T3,8.429,9.582,8.909
T3,7.964,8.281,9.692
T3,8.316,9.583,9.188
T2,4.765,7.65,10.765
T4,6.081,7.151,8.499
T1,6.59,4.806,11.143
T3,7.576,9.334,9.696
T4,5.652,6.447,8.547
T2,5.204,7.504,9.578
T2,5.418,8.616,10.837
T2,5.003,8.648,10.272
T4,5.551,6.97,8.524
T3,7.398,8.836,9.413
T2,4.611,8.022,10.273
T4,5.516,7.032,8.42
T2,4.967,7.938,10.513
T4,6.48,6.728,8.523
T3,7.393,8.754,8.364
T1,6.872,5.088,12.601
T1,7.232,5.228,11.675
T3,7.374,8.582,8.915
T4,6.407,7.258,7.821
T2,4.741,8.115,10.545
T4,6.253,7.431,8.448
T4,6.487,6.752,8.555
T1,6.895,4.722,12.625
T4,5.843,6.664,8.637
T3,8.075,9.594,8.607
T1,7.273,4.88,12.131
T2,4.633,8.071,10.197
T2,5.387,7.79,10.407
T4,6.243,7.185,7.773
T1,7.216,4.584,12.503
T4,5.625,6.481,7.825
T1,7.469,5.064,13.02
T3,7.36,9.014,8.651
T2,5.327,8.053,10.723
T3,7.364,9.21,9.268
T1,7.444,5.333,11.149
T1,6.411,4.657,11.051
T1,7.361,5.328,11.943
T4,5.913,7.447,7.911
T4,5.766,6.796,7.438
T1,6.729,5.028,11.509
T3,7.91,9.133,8.517
T3,8.448,9.088,9.174
T2,4.578,8.137,10.388
T1,6.722,4.6,12.603
T3,7.632,8.568,8.461
T3,7.902,9.368,8.246
T1,6.699,4.613,11.181
T3,7.69,9.591,9.019
T1,6.851,4.75,11.283
T3,8.423,8.846,9.173
T3,8.439,9.259,9.113
T1,7.352,5.226,12.055
T4,6.374,7.545,7.984
T4,5.748,6.851,8.302
T2,5.306,8.12,9.804
T4,5.809,7.556,8.098
T4,6.448,6.714,7.634
T3,7.579,8.46,8.502
T4,5.757,6.453,7.834
T3,8.437,8.72,8.667
T4,6.109,6.484,7.315
T3,8.417,8.294,8.73
T2,5.093,7.633,9.284
T2,5.423,8.286,10.602
T1,7.343,4.615,11.085
T4,5.674,6.954,8.545
T3,8.341,9.147,9.582
T3,8.156,8.61,8.417
T4,5.868,6.58,7.804
T1,7.269,5.246,11.026
T2,5.066,8.271,10.691
T4,5.812,6.79,8.434
T4,6.36,6.711,7.501
T1,6.678,5.159,11.919
T4,5.913,6.629,7.435
T4,5.771,6.597,7.345
T2,5.318,8.404,10.273
T3,7.794,8.71,8.763
T3,7.436,9.501,8.673
T3,7.764,8.307,9.272
T3,8.174,9.496,8.619
T1,7.576,5.319,11.412
T2,5.318,8.329,9.458
T1,7.09,5.261,12.716
T4,6.311,7.48,8.252
T1,6.537,5.277,11.136
T4,5.752,6.817,7.873
T1,6.53,4.846,11.537
T1,6.89,5.196,11.322
T3,7.354,8.856,8.954
T4,6.374,7.197,7.761
T1,6.917,5.067,11.733
T4,5.717,6.782,7.375
T1,6.892,4.724,12.78
T2,4.784,8.516,9.529
T1,6.715,5.072,12.039
T1,7.371,5.283,12.977
T3,7.959,9.269,8.617
T2,5.284,8.031,9.234
T1,6.522,5.313,11.433
T1,6.856,5.105,12.791
T2,4.708,7.363,9.2
T3,7.731,9.435,9.116
T2,5.301,7.963,9.696
T3,8.581,9.171,9.102
T4,5.83,7.115,7.575
T3,7.601,8.237,9.605
T4,5.498,6.758,8.683
T3,7.636,8.938,9.66
T4,6.349,6.76,8.322
T2,4.951,8.297,9.936
T1,6.532,5.302,11.391
T2,4.926,8.031,9.994
T3,8.544,9.744,8.435
T2,4.765,7.927,10.862
T3,7.87,9.012,8.503
T4,6.483,7.389,8.497
T2,4.671,8.063,10.856
T2,5.312,8.071,9.427
T3,8.63,9.005,8.375
T4,6.483,6.798,7.509
T1,7.452,5.252,11.513
T3,8.454,8.561,9.048
T1,6.905,4.886,11.737
T2,5.208,7.515,10.173
T3,7.647,8.634,9.469
T2,5.269,7.846,10.712
T3,8.447,8.705,9.276
T2,4.801,8.036,10.429
T1,6.439,4.581,11.277
T3,8.203,9.039,8.894
T4,6.096,6.738,8.65
T3,8.589,9.276,8.979
T1,7.577,5.223,11.404
T1,6.979,4.596,11.283
T2,4.711,8.193,10.113
T1,6.629,5.29,11.968
T1,7.016,4.943,11.486
T3,7.688,9.262,9.381
T1,6.678,5.016,11.14
T3,7.68,8.543,9.081
T3,7.985,9.757,9.704
T2,5.104,8.584,10.658
T2,5.372,8.15,10.803
T3,7.943,8.352,8.3
T4,5.854,6.854,8.506
T2,5.193,8.084,10.849
T4,5.862,7.56,8.186
T3,7.516,9.377,9.419
T2,4.724,7.606,9.748
T2,5.367,8.424,9.942
T3,7.583,9.677,8.974
T1,7.255,5.107,11.885
T4,5.804,6.886,7.666
T4,6.078,6.828,7.528
T4,5.806,7.424,8.473
T2,4.927,7.754,10.018
T4,5.571,6.999,7.808
T4,6.355,6.537,8.269
T4,5.587,7.23,8.518
T1,7.113,4.924,11.95
T2,4.711,8.268,10.376
T2,5.269,8.304,10.574
T2,5.047,7.47,9.982
T4,6.194,7.309,7.482
T3,8.04,9.623,9.317
T1,6.789,4.856,12.364
T3,7.923,9.429,9.522
T1,7.218,5.007,11.12
T1,7.526,5.129,11.284
T1,7.496,5.254,11.263
T1,6.48,5.094,11.572
T4,6.474,6.519,7.316
T3,7.56,9.125,8.81
T1,7.581,4.851,12.701
T1,7.004,4.607,11.725
T3,8.132,8.658,8.651
T1,6.956,5.205,11.959
T3,8.518,9.423,8.552
T2,5.283,8.074,9.677
T4,6.136,7.336,8.225
T4,5.592,6.396,8.202
T3,7.556,8.983,8.644
T4,6.279,7.067,7.996
T4,5.891,6.594,7.753
T2,5.043,7.651,9.575
T4,5.593,7.19,8.024
T3,7.674,8.737,8.963
T4,5.882,6.754,8.689
T2,4.96,7.54,9.678
T4,6.195,7.503,7.476
T2,5.238,8.323,10.166
T3,8.327,9.619,9.409
T2,4.841,8.313,10.174
T1,6.81,4.677,11.771
T4,6.101,7.082,7.667
T2,5.36,7.702,10.635
T1,6.53,4.832,11.856
T2,5.126,8.308,10.719
T1,7.424,5.082,12.882
T2,5.164,7.607,10.645
T3,7.737,8.856,8.648
T1,7.306,4.64,11.915
T3,7.852,8.534,9.171
T2,4.687,8.244,10.511
T4,6.16,7.267,7.558
T2,4.944,7.567,9.822
T1,7.145,5.104,12.143
T2,4.941,7.466,9.97
T4,5.631,7.12,8.104
T2,5.022,8.035,9.61
T1,7.091,4.758,11.421
T2,4.88,8.236,10.861
T2,5.212,7.988,9.152
T3,8.663,8.918,9.544
T3,7.625,8.519,9.48
T1,7.203,5.093,11.355
T4,6.467,7.429,7.633
T3,7.768,9.734,8.398
T3,7.775,8.286,9.082
T1,6.573,4.84,11.513
T2,5.124,7.521,9.849
T4,5.71,7.203,8.119
T3,7.843,9.395,9.721
T1,6.716,5.177,11.116
T1,6.734,5.184,12.674
T3,8.245,9.634,8.293
T1,6.972,5.169,12.253
T3,8.692,9.405,9.624
T4,5.492,7.344,8.056
T1,6.784,5.337,11.926
T2,4.707,7.999,10.264
T2,5.17,8.331,10.5
T3,7.566,8.637,8.662
T2,5.128,8.449,10.186
T2,5.328,8.426,9.312
T1,7.368,4.589,12.468
T1,7.121,4.746,11.375
T3,7.558,9.38,9.751
T4,5.945,6.804,8.013
T3,7.932,9.468,8.27
T3,7.785,8.458,8.376
T4,5.667,7.276,8.318
T3,7.639,9.369,8.363
T1,7.375,5.371,12.597
T2,4.759,8.656,9.556
T4,6.256,6.597,7.986
T1,7.269,5.103,12.936
T4,6.334,7.349,7.425
T1,7.528,4.895,12.6
T4,5.695,6.913,8.195
T3,7.638,8.23,8.333
T1,6.589,5.421,11.467
T2,4.74,8.33,9.236
T2,5.36,7.458,9.471
T4,6.084,6.828,7.466
T1,6.653,5.194,11.94
T2,5.127,7.846,10.738
T1,7.021,5.04,12.951
T2,5.332,7.553,9.833
T3,8.573,8.427,8.545
T1,6.753,5.18,11.507
T2,5.408,7.673,10.302
T3,8.153,8.768,9.34
T1,6.412,5.078,13.027
T4,5.531,7.474,8.654
T2,5.28,8.51,10.69
T2,4.826,7.797,9.968
T4,6.027,7.341,7.608
T1,6.92,5.227,12.238
T4,5.986,6.57,8.376
T3,8.393,9.165,8.541
T2,5.059,7.662,9.788
T3,7.855,9.122,9.404
T1,6.886,5.201,12.594
T2,5.361,8.441,9.816
T4,6.031,7.539,8.114
T4,5.599,7.242,7.57
T4,5.872,7.372,8.091
T2,5.005,7.785,9.577
T4,5.967,6.953,7.814
T3,7.975,9.654,8.792
T3,7.327,9.362,9.39
T2,4.96,7.403,10.219
T2,4.643,7.662,9.169
T3,8.394,9.5,9.75
T1,6.477,4.642,12.802
T2,4.887,7.564,9.758
T4,5.722,6.854,7.392
T2,5.221,8.328,9.149
T3,8.43,9.693,8.795
T2,4.856,7.355,9.372
T3,8.604,9.501,9.073
T2,4.776,7.436,10.375
T1,6.785,4.86,11.551
T1,6.947,4.847,12.428
T1,6.495,4.619,10.964
T1,6.673,5.215,12.851
T4,6.07,7.167,7.474
T2,5.109,8.218,10.665
T2,4.862,8.253,9.989
T4,5.971,7.448,7.403
T4,5.752,7.51,8.105
T2,4.735,8.369,10.041
T3,8.345,9.223,8.851
T3,7.811,8.744,9.369
T4,6.45,6.44,8.015
T3,7.819,9.694,8.752
T1,7.561,5.319,12.469
T2,4.616,7.616,9.95
T2,4.995,8.663,9.305
T3,7.491,8.336,9.768
T3,8.333,8.585,9.69
T2,4.946,8.359,10.685
T3,7.729,9.159,8.888
T2,4.871,7.328,9.53
T2,5.113,8.637,9.515
T3,8.49,9.103,8.687
T4,5.79,6.443,8.154
T1,7.584,5.348,12.76
T3,7.342,9.458,8.698
T1,7.365,5.124,11.211
T1,6.695,5.083,12.753
T2,5.069,7.709,10.721
T2,4.68,8.449,9.821
T1,7.198,5.218,11.573
T4,5.543,7.213,8.275
T1,7.187,5.088,12.261
T2,4.88,8.332,10.193
T3,8.533,9.308,8.808
T1,6.941,4.749,13.013
T2,4.676,7.46,9.682
T3,7.63,8.319,9.694
T2,5.296,8.334,10.135
T4,6.19,7.11,8.632
T2,4.999,7.639,9.71
T2,4.567,8.344,10.412
T1,6.623,4.886,11.789
T4,5.539,7.153,7.682
T3,7.497,8.253,8.804
T1,6.504,5.22,11.184
T2,5.253,8.013,10.291
T3,8.495,9.184,9.75
T4,5.88,7.08,8.057
T1,7.542,4.996,12.976
T2,5.423,7.752,10.337
T3,7.84,9.194,9.692
T1,7.296,4.809,11.496
T1,6.715,5.092,11.962
T4,5.711,6.54,8.003
T4,5.579,7.325,7.461
T3,7.633,9.293,9.763
T4,5.965,7.555,7.975
T1,6.439,5.21,11.894
T4,6.115,7.013,8.218
T4,6.402,6.921,7.467
T1,6.48,4.919,11.324
T1,6.431,4.675,11.261
T4,5.639,7.543,7.704
T1,7.498,5.144,12.573
T2,4.897,8.682,10.601
T2,5.351,8.507,10.743
T3,7.793,9.609,9.453
T4,5.939,6.457,8.355
T3,8.539,9.008,8.797
T1,7.479,4.74,12.294
T2,4.603,8.484,10.627
T2,5.014,8.539,9.242
T1,7.396,4.96,12.362
T4,5.515,7.021,7.993
T1,6.912,4.832,12.289
T3,7.697,8.397,9.747
T1,7.579,5.374,11.501
T4,5.711,7.519,8.172
T4,6.073,7.414,7.665
T3,8.396,9.433,8.706
T3,7.439,9.333,9.424
T4,5.899,6.922,7.338
T2,5.174,7.317,9.31
T4,6.125,6.905,8.062
T4,6.401,6.547,8.024
T1,6.87,5.351,12.825
T1,7.374,5.351,11.879
T1,7.225,4.57,12.874
T4,6.149,6.58,8.196
T1,7.595,5.39,11.111
T4,5.586,7.476,8.404
T3,7.366,9.583,9.129
T1,6.848,4.644,12.429
T4,6.42,7.397,7.602
T2,4.68,8.153,10.484
T3,7.349,9.616,8.274
T2,4.629,7.817,10.441
T2,5.431,7.975,10.647
T3,7.587,8.287,9.629
T3,8.582,9.671,9.589
T4,5.547,7.436,7.588
T2,4.732,8.63,9.665
T4,6.502,7.178,8.651
T2,5.1,8.569,9.932
T2,5.122,7.567,9.967
T3,7.576,9.505,9.456
T2,4.914,8.113,10.398
T2,4.804,7.862,10.192
T4,6.034,7.369,8.239
T2,4.728,7.439,9.876
T2,4.572,7.736,10.378
T1,6.922,4.943,11.133
T3,8.171,9.288,8.759
T4,6.379,7.271,8.143
T4,6.181,7.072,7.592
T2,5.084,7.749,9.204
T3,7.886,9.546,9.777
T2,5.248,7.54,9.979
T3,8.119,9.206,9.122
T3,7.922,8.414,8.605
T4,6.445,6.998,7.957
T2,5.078,7.693,9.688
T4,5.555,6.82,8.343
T4,6.052,7.463,7.358
T4,5.762,7.386,7.993
T4,6.356,7.409,7.64
T3,7.523,9.696,9.695
T1,7.138,4.911,11.998
T4,6.316,7.216,8.189
T3,7.581,8.978,8.661
T3,8.433,9.742,8.561
T3,8.449,9.023,9.714
T4,5.772,7.353,7.699
T3,8.28,8.683,8.294
T4,6.18,6.617,7.882
T4,6.137,6.427,7.986
T4,5.738,7.039,7.413
T4,5.88,7.504,8.426
T4,5.771,7.156,7.64
T4,6.299,6.683,7.848
T2,5.195,8.334,9.156
T3,8.071,9.199,8.421
T3,7.469,9.287,9.652
T3,7.944,8.651,9.579
T3,7.902,8.409,9.344
T3,8.644,8.548,9.476
T2,4.92,8.608,9.753
T3,8.399,8.324,8.275
T1,6.618,5.2,11.812
T1,7.079,4.918,11.345
T2,5.385,8.067,10.817
T3,7.822,8.357,8.618
T1,7.534,5.34,12.211
T3,7.815,8.339,8.984
T3,7.768,9.677,9.516
T4,6.423,6.996,7.491
T3,8.479,9.32,9.558
T3,7.847,9.222,8.579
T1,6.833,4.975,12.634
T1,6.685,4.802,10.977
T3,7.546,8.278,8.273
T2,4.603,7.779,9.556
T2,5.0,8.148,10.541
T4,5.734,6.74,7.76
T3,7.817,9.024,9.219
T4,6.088,7.046,8.249
T3,7.379,8.299,9.2
T1,7.057,5.176,12.888
T1,6.501,4.931,12.277
T4,6.514,7.56,7.67
T2,5.362,7.883,10.024
T3,7.332,8.844,9.45
T3,8.087,9.219,8.797
T4,6.251,6.924,8.498
T4,6.493,6.469,7.848
T2,5.093,7.833,9.721
T3,7.555,8.763,9.483
T2,4.99,7.923,9.653
T2,5.033,7.962,9.517
T2,4.687,7.856,10.568
T3,7.462,8.43,8.296
T2,5.063,8.535,10.654
T4,5.799,7.501,7.565
T3,7.673,8.816,8.349
T4,5.733,6.888,7.906
T4,5.869,6.922,7.625
T2,4.881,7.889,9.89
T3,8.243,8.66,8.471
T3,8.116,8.476,9.395
T2,4.787,7.879,10.132
T3,7.989,8.396,9.712
T1,6.698,5.363,12.317
T4,5.663,7.354,8.369
T1,7.142,4.98,11.397
T2,4.953,8.236,9.646
T1,7.361,5.116,12.692
T3,7.434,8.663,9.324
T3,8.313,8.573,8.307
T1,6.44,5.32,12.554
T3,8.004,9.225,9.52
T1,7.355,4.699,11.444
T4,5.668,6.871,7.382
T3,7.687,8.324,8.731
T4,5.881,7.299,7.483
T1,7.288,4.991,11.802
T4,5.776,6.899,8.502
T4,5.861,7.157,8.498
T2,4.656,7.993,10.272
T1,7.182,5.017,12.89
T4,6.018,7.544,7.596
T4,6.157,6.961,8.581
T2,5.04,7.378,9.577
T1,6.436,5.421,11.384
T2,5.12,8.462,10.529
T4,5.947,7.253,8.622
T1,6.674,5.064,12.035
T1,7.386,4.674,12.491
T2,5.291,7.568,9.488
T2,4.781,8.207,10.303
T4,5.846,7.28,8.116
T2,4.749,8.202,10.724
T4,5.641,7.29,8.5
T1,6.463,4.579,11.107
T3,8.371,9.178,8.768
T4,6.163,6.805,7.942
T4,6.197,6.405,7.351
T4,5.688,7.319,8.38
T4,6.076,7.254,7.35
T4,6.135,7.263,7.802
T1,7.451,5.398,12.881
T4,6.133,7.171,7.96
T1,6.889,4.661,11.769
T3,7.9,8.935,9.207
T1,7.101,4.938,11.527
T1,7.072,5.046,12.139
T1,6.426,5.368,12.546
T4,5.863,7.118,7.9
T1,7.471,5.355,12.251
T3,7.644,9.526,8.37
T2,4.766,7.448,9.872
T4,6.078,6.5,7.492
T2,5.049,8.479,9.842
T1,6.654,4.774,11.709
T2,4.92,8.49,9.948
T4,5.739,7.416,8.127
T3,7.765,9.004,9.275
T1,6.728,5.424,12.532
T3,7.919,8.817,8.439
T2,4.681,8.373,9.543
T3,7.636,8.787,9.24
T4,5.686,6.947,8.048
T2,4.738,7.839,9.762
T1,7.571,4.942,12.265
T4,6.289,7.107,8.636
T3,7.539,8.742,8.953
T4,5.786,7.274,8.624
T1,6.768,4.798,11.882
T2,5.193,7.331,9.648
T1,6.95,5.315,12.315
T3,7.444,9.105,9.17
T3,8.322,8.412,9.758
T2,4.603,7.771,9.643
T3,8.062,9.716,9.527
T3,7.315,8.669,9.393
T1,6.8,4.862,11.665
T3,7.358,9.234,8.821
T2,4.597,7.836,10.237
T4,5.593,6.488,8.256
T3,7.842,9.072,8.436
T4,5.53,6.503,8.443
T1,6.485,4.613,11.171
T1,7.331,4.837,11.711
T1,6.715,4.994,12.508
T1,6.541,4.872,12.913
T4,6.091,6.859,7.932
T1,6.681,4.604,11.694
T2,4.784,7.531,10.639
T2,5.251,8.288,9.15
T3,7.567,9.479,8.297
T3,8.231,9.461,8.29
T3,8.396,8.561,9.484
T2,5.425,7.964,10.573
T2,5.42,7.504,10.454
T4,5.656,7.338,7.946
T4,5.843,7.293,8.311
T4,6.381,6.706,7.375
T1,6.482,4.712,11.884
T2,4.653,7.437,9.641
T2,4.977,8.351,9.222
T3,8.263,8.758,8.238
T2,5.1,7.42,10.364
T4,5.527,6.986,7.951
T1,7.373,4.661,11.982
T3,7.682,8.33,9.407
T3,8.52,9.013,9.023
T2,5.287,8.4,9.356
T1,6.737,5.195,12.959
T2,4.941,8.638,10.809
T1,6.54,4.808,12.367
T1,7.414,4.581,11.649
T2,5.058,8.637,9.458
T4,5.577,7.301,8.205
T4,5.536,6.458,8.391
T4,5.518,7.3,8.606
T2,4.792,7.719,9.268
T4,6.263,6.987,8.436
T4,6.409,7.33,8.145
T3,8.378,8.905,8.694
T3,7.321,8.461,9.058
T3,8.203,8.486,9.755
T3,7.353,9.503,8.259
T4,6.173,7.373,8.362
T2,4.689,8.074,9.979
T2,4.758,7.822,9.505
T2,4.843,7.7,9.83
T1,6.926,4.67,12.147
T4,6.436,7.182,7.804
T4,5.826,7.476,8.402
T2,4.617,8.687,10.549
T3,8.198,9.058,9.246
T1,7.085,5.196,11.699
T3,7.783,8.88,8.461
T4,5.555,6.845,8.247
T3,7.924,9.718,9.218
T3,8.009,9.614,9.44
T4,5.76,6.773,8.601
T3,7.855,8.551,9.109
T3,7.978,9.226,8.561
T4,5.907,7.047,8.173
T2,5.089,8.305,9.76
T1,7.071,5.021,12.624
T4,5.552,6.52,7.6
T3,7.333,8.756,8.502
T1,7.493,4.623,12.469
T1,7.387,4.947,11.7
T1,7.016,5.334,11.658
T3,8.477,9.293,9.123
T2,5.144,7.391,10.566
T3,7.587,8.858,9.496
T4,6.072,6.567,7.668
T4,6.514,7.077,7.641
T3,7.652,9.102,9.486
T2,4.626,7.625,9.287
T1,7.39,4.79,11.725
T2,5.058,8.548,9.745
T1,6.486,5.101,11.483
T4,6.286,7.352,8.47
T2,4.869,8.217,9.993
T2,4.723,8.654,9.632
T3,8.335,9.509,8.476
T2,5.232,7.805,10.606
T2,4.633,7.61,10.807
T1,6.905,5.249,11.842
T2,5.269,8.57,9.376
T4,5.85,7.5,7.81
T4,5.895,6.399,8.171
T1,7.07,5.32,11.756
T3,7.347,9.658,9.104
T1,6.79,4.694,11.517
T1,6.685,5.239,12.683
T4,6.271,7.051,8.138
T2,5.387,7.991,9.512
T4,6.163,6.513,7.37
T2,5.242,8.126,9.664
T4,6.269,7.403,8.623
T3,7.775,9.006,9.62
T4,6.247,7.538,8.374
T1,7.535,4.622,12.516
T3,8.226,9.758,9.642
T3,7.504,8.268,9.111
T3,8.296,8.803,8.789
T2,4.95,7.692,9.557
T3,7.753,9.023,8.79
T3,7.846,8.936,9.107
T3,8.462,8.393,8.865
T3,8.371,9.274,8.837
T1,7.041,4.586,12.86
T4,5.828,6.402,8.674
T4,5.753,6.51,7.364
T4,6.004,7.267,8.365
T4,5.67,7.466,7.397
T3,8.333,8.54,9.392
T4,6.253,6.721,8.359
T4,5.611,6.911,7.509
T2,4.612,8.664,10.18
T2,4.874,8.559,10.769
T4,6.271,7.504,7.497
T3,8.102,9.635,9.148
T3,7.591,9.719,8.443
T1,7.082,4.993,11.165
T4,5.819,6.996,8.339
T3,7.958,8.513,9.67
T2,5.196,8.492,10.167
T2,4.592,8.025,9.223
T1,6.451,5.041,12.186
T3,7.445,8.818,9.594
T1,6.72,4.686,11.322
T3,8.69,8.729,8.346
T4,6.093,6.975,8.026
T4,5.544,6.654,7.771
T1,6.473,5.235,12.156
T2,4.957,7.39,9.875
T2,5.12,8.623,9.199
T4,6.247,7.074,7.736
T2,4.989,7.997,10.372
T3,7.866,8.428,8.357
T1,7.572,5.327,11.461
T4,6.37,7.528,8.575
T1,7.44,5.402,11.173
T2,5.425,8.052,9.932
T3,7.619,9.008,8.548
T4,5.653,6.842,8.46
T3,8.496,8.565,9.258
T2,5.285,7.797,10.43
T1,6.841,4.568,11.234
T3,8.45,9.74,8.334
T1,7.144,4.813,11.605
T2,5.274,8.125,10.827
T2,4.949,8.224,9.371
T4,6.338,7.133,8.003
T1,6.904,4.861,11.886
T3,7.715,8.434,8.792
T2,4.737,8.601,10.681
T4,5.919,6.753,8.408
T4,6.439,6.727,8.249
T2,4.67,8.662,9.483
T1,7.304,4.579,11.825
T4,5.599,7.115,7.755
T4,6.511,7.206,7.408
T2,4.832,8.268,10.851
T1,6.497,4.729,11.319
T2,4.769,7.635,9.575
T1,6.938,5.069,11.803
T1,7.079,4.95,12.586
T4,5.603,7.189,7.702
T1,7.138,5.386,12.753
T3,8.645,8.413,8.776
T2,4.803,8.155,9.501
T4,6.172,7.45,7.781
T3,7.79,9.754,9.582
T2,5.294,7.985,10.209
T3,8.636,9.128,8.671
T2,5.19,7.862,9.926
T3,7.481,9.447,8.691
T3,8.676,9.308,9.775
T3,7.762,9.102,9.691
T3,8.095,9.074,9.185
T3,8.594,8.337,8.897
T2,4.886,8.209,9.578
T1,6.537,5.273,12.575
T1,6.789,4.723,12.685
T1,6.674,5.113,11.205
T2,4.705,8.462,10.11
T4,5.832,7.098,8.516
T3,7.828,8.867,8.643
T3,8.561,8.559,8.339
T3,7.522,8.608,9.384
T4,5.944,6.839,7.847
T3,8.513,8.441,8.852
T4,5.631,6.562,7.974
T3,8.375,9.134,9.417
T4,6.266,6.758,7.898
T2,5.15,7.499,10.615
T1,7.494,5.224,11.361
T4,6.44,6.561,7.768
T3,7.907,9.459,8.356
T3,8.386,8.938,9.744
T3,7.647,8.737,9.589
T3,8.366,8.429,8.673
T1,7.441,4.614,12.172
T2,4.983,7.623,9.726
T4,6.225,7.299,8.031
T1,6.549,4.656,11.973
T4,6.415,7.368,7.948
T1,7.466,4.643,12.044
T1,7.122,5.005,12.958
T4,6.193,6.845,8.585
T2,4.947,8.341,10.199
T1,7.327,5.34,12.122
T4,6.19,7.452,7.978
T4,5.742,6.836,7.915
T3,8.504,8.936,8.446
T3,7.613,9.061,9.448
T1,6.769,5.199,12.82
T4,6.207,6.4,7.31
T3,7.419,9.625,9.537
T1,6.602,4.69,11.856
T2,4.67,7.872,9.467
T1,7.017,5.288,11.476
T1,6.864,5.149,12.217
T1,6.394,5.256,10.993
T2,4.837,7.912,10.547
T1,7.41,5.0,11.033
T3,8.165,8.633,8.277
T1,7.207,4.889,11.337
T4,6.025,7.442,7.543
T4,6.264,6.812,7.98
T3,7.789,9.621,9.256
T1,7.396,4.758,11.154
T2,4.82,8.303,9.339
T2,4.947,7.957,10.132
T4,6.048,6.466,7.699
T3,7.433,8.32,9.126
T4,5.932,6.442,8.139
